0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
0,1,0.800
1,0,0.800
1,2,1.000
2,1,1.000
2,3,1.200
3,2,1.200
3,4,0.900
4,3,0.900
4,5,1.100
5,4,1.100
5,6,0.950
6,5,0.950
6,7,1.050
7,6,1.050
7,8,1.250
8,7,1.250
8,9,0.850
9,8,0.850
10,11,0.800
11,10,0.800
11,12,1.000
12,11,1.000
12,13,1.200
13,12,1.200
13,14,0.900
14,13,0.900
14,15,1.100
15,14,1.100
15,16,0.950
16,15,0.950
16,17,1.050
17,16,1.050
17,18,1.250
18,17,1.250
18,19,0.850
19,18,0.850
20,21,0.800
21,20,0.800
21,22,1.000
22,21,1.000
22,23,1.200
23,22,1.200
23,24,0.900
24,23,0.900
24,25,1.100
25,24,1.100
25,26,0.950
26,25,0.950
26,27,1.050
27,26,1.050
27,28,1.250
28,27,1.250
28,29,0.850
29,28,0.850
30,31,0.800
31,30,0.800
31,32,1.000
32,31,1.000
32,33,1.200
33,32,1.200
33,34,0.900
34,33,0.900
34,35,1.100
35,34,1.100
35,36,0.950
36,35,0.950
36,37,1.050
37,36,1.050
37,38,1.250
38,37,1.250
38,39,0.850
39,38,0.850
40,41,0.800
41,40,0.800
41,42,1.000
42,41,1.000
42,43,1.200
43,42,1.200
43,44,0.900
44,43,0.900
44,45,1.100
45,44,1.100
45,46,0.950
46,45,0.950
46,47,1.050
47,46,1.050
47,48,1.250
48,47,1.250
48,49,0.850
49,48,0.850
0,10,0.900
10,0,0.900
1,11,0.900
11,1,0.900
2,12,0.900
12,2,0.900
3,13,0.900
13,3,0.900
4,14,0.900
14,4,0.900
5,15,0.900
15,5,0.900
6,16,0.900
16,6,0.900
7,17,0.900
17,7,0.900
8,18,0.900
18,8,0.900
9,19,0.900
19,9,0.900
10,20,1.300
20,10,1.300
11,21,1.300
21,11,1.300
12,22,1.300
22,12,1.300
13,23,1.300
23,13,1.300
14,24,1.300
24,14,1.300
15,25,1.300
25,15,1.300
16,26,1.300
26,16,1.300
17,27,1.300
27,17,1.300
18,28,1.300
28,18,1.300
19,29,1.300
29,19,1.300
20,30,1.000
30,20,1.000
21,31,1.000
31,21,1.000
22,32,1.000
32,22,1.000
23,33,1.000
33,23,1.000
24,34,1.000
34,24,1.000
25,35,1.000
35,25,1.000
26,36,1.000
36,26,1.000
27,37,1.000
37,27,1.000
28,38,1.000
38,28,1.000
29,39,1.000
39,29,1.000
30,40,1.200
40,30,1.200
31,41,1.200
41,31,1.200
32,42,1.200
42,32,1.200
33,43,1.200
43,33,1.200
34,44,1.200
44,34,1.200
35,45,1.200
45,35,1.200
36,46,1.200
46,36,1.200
37,47,1.200
47,37,1.200
38,48,1.200
48,38,1.200
39,49,1.200
49,39,1.200
0,11,1.204
11,0,1.204
3,14,1.273
14,3,1.273
6,17,1.383
17,6,1.383
12,23,1.769
23,12,1.769
15,26,1.610
26,15,1.610
18,29,1.553
29,18,1.553
21,32,1.414
32,21,1.414
24,35,1.487
35,24,1.487
27,38,1.601
38,27,1.601
30,41,1.442
41,30,1.442
33,44,1.500
44,33,1.500
36,47,1.595
47,36,1.595
